,Time,User,Message,Sentiment
0,0.0,e53051763e2bd9461615e0d75ff686665412bd22,gr lul ,0.04518771544098854
1,2.0,517590e4c995cf0b0d0e62915d33b04a42bb5c73,destroyed ,0.9651190042495728
2,3.0,126d9ed2feaec7c1c140e4545a4511b1032ba13f,lulw ,0.012713837437331676
3,8.0,7be55722783e205e6c5378ee6b0c026e87cf7545,what is it with kragies channel always talking about cheaters 1 does he notice them easier 2 does other streamers not comment em as often 3 or does he just have alot of streamsnipercheaters ,0.4913302958011627
4,10.0,f52e8c973d00274b4f1b458f29da47669376d0cf,sigma cheating obvi ,0.952584981918335
5,19.0,ecc220738eb53a7085d052a16c6882d0e9f7f3f4,omegaroll ,0.004104537423700094
6,21.0,f6c8656ff54c87b5345b364868f23b80f437eef8,yes ur widow is cheating ,0.5393512845039368
7,30.0,b423a6c13480bd6a303125ce4af59cf558bf9e83,hes not cheating ,0.12276970595121384
8,31.0,a27f2c32b7ce6e9c5fcb0578c1d707ee4f6f6ba5,forsencd ,0.02277379482984543
9,34.0,eee44fed2fbe4a5ef9a04acb72f99cce3a4940aa,gr :) ,0.010651171207427979
10,34.0,5c2a89dd1f7ba2124f4bc2299196549732f72192,or maybe 80ceb1a2d6fee519ceeee745d69503b64d041b21 is the one cheating ,0.33989086747169495
11,35.0,1d88100772c4870406ef8f3207625e5732ff835b,lulw ,0.012713837437331676
12,36.0,866367331b264ae58a0390c8253cbe8687957c25,they are playing agressive and your team is playing passive so thats the problem ,0.8148083090782166
13,36.0,52bcf22e170c51752908b0676a4293ffbd584bb8,5head ,0.0038542887195944786
14,41.0,4be98a97b94923290530d32f49524e2dc6a2f7d1,kragie ,0.006287196185439825
15,43.0,1762e94e1d08df5b1ba1b53d223a98895838cd1e,cheatception ,0.9054616689682007
16,47.0,f6c8656ff54c87b5345b364868f23b80f437eef8,ur widow is cheating too harb had him last match as enemy ,0.2851639986038208
17,48.0,1d88100772c4870406ef8f3207625e5732ff835b,forsencd whats wrong with that ,0.6371285915374756
18,49.0,040887b0dea34394300c5f7465eb307697043b32,kragiethinking ,0.009342481382191181
19,54.0,a27f2c32b7ce6e9c5fcb0578c1d707ee4f6f6ba5,i'm cheating ,0.9192240834236145
20,62.0,ecc220738eb53a7085d052a16c6882d0e9f7f3f4,fog horn noises ,0.8117406368255615
21,63.0,a36fd0c9953243aa92aceae15961967d89c2f515,is kragie cheating ,0.8008711338043213
22,63.0,0985934a4ee19f63cfbb828a486c35bdddf91283,daddy ,0.03824037313461304
23,64.0,1d88100772c4870406ef8f3207625e5732ff835b,xqclook xqclook xqclook xqct ,0.0005446267896331847
24,68.0,f52e8c973d00274b4f1b458f29da47669376d0cf,emongl emongl emongl ,0.11144021153450012
