,Time,User,Message,Sentiment
0,0.0,217e6ef816d3f037fb868933f74bbcaa9c7e82ec,can you get a maga hat for the villagers ,0.19742010533809662
1,0.0,a0c59b2094410f459ad3ddc54e0b15fb00e2aee4,hi ,0.015240686945617199
2,3.0,c0aac163f4f67452ab098e24cb408786c7966cdd,make a mine cart train for villagers and put arrow shooters on each side of the mine carts ,0.12169209867715836
3,4.0,03a076fdebeebb48537d1d0cde3561c717519a3c,heyy 7702890038ffb12577d66a57a5820fe60f9e20e6 <3 prideballoons ,0.0013557291822507977
4,6.0,50ad8d9affa136d34b1615a1ce8917439637761f,oh he's right you know ,0.039489325135946274
5,6.0,7faee491d03e1e9f9edd36a5821c76f72b25e0fb,sake john ,0.13095198571681976
6,6.0,4885baf7b2f67d7765fc3a576a79960ead399b7b,it wont dee72fd31c3e545b53c070350ecdb533eb3b0c00 ,0.1364119052886963
7,7.0,ff3a42247c86e73099d401bbe53717b40816dfb7,wrong ,0.1272870898246765
8,8.0,186ac96a2397b11adaff9383e65bb455bfc80b42,yasssss ,0.016681458801031113
9,8.0,4f501495ed55f574f204ebb65f83a3efbf233a49,catapult him ,0.10137279331684113
10,9.0,b2eab0c3cbd5a018351d720e8567e4b273c93ed9,smash ,0.04199855029582977
11,9.0,9b4eca3d68ba4d01c5e89950cd0ba15e01461e9a,john you utter fool ,0.9517270922660828
12,9.0,04cc6eba405b27f816f66d98432f83608f518762,7702890038ffb12577d66a57a5820fe60f9e20e6 mostly fine thank you <3 how're you ,0.0004466654791031033
13,10.0,ef3c4002fe362166fd2accb4d6bf55fb676817a0,limmycancelled ,0.09223034977912903
14,10.0,e963b144b7cef4d0bd6ce3d39255a38f709424ad,xqcskull ,0.018371615558862686
15,10.0,5f78e75bed508b6a9c923d901aaac1fb6beb9f77,he's a pro ,0.015529136173427105
16,12.0,1ebe42340d44b0b9e6cd3176c324beec6c23085f,drown in sand then send to hell ,0.9320677518844604
17,16.0,317b1d89b2ff6bd7402e1461e5ff3968fc263593,limmyvermin ,0.04869561642408371
18,16.0,d135f7fa95762e3ae60cd36c8c6fb37ef8ed266d,that sounds class ,0.08362823724746704
19,18.0,9926f21b610b6ae24fa45e0cc161b8974c1e3779,here we go ,0.013886074535548687
20,18.0,7702890038ffb12577d66a57a5820fe60f9e20e6,hello 03a076fdebeebb48537d1d0cde3561c717519a3c hope you're good ,0.0047765769995749
21,18.0,746ec626106afd1e3171acd6a472a4a52eecc866,oh no ,0.5492268800735474
22,18.0,50ad8d9affa136d34b1615a1ce8917439637761f,it will ,0.04059026762843132
23,20.0,d2f8f1142a6fbb6e56f4af2f7000e686b9f3408a,killing machine love it ,0.0024884340818971395
24,21.0,ec72493d6013df15c6794db4aa1a01098e690a70,evening troops ,0.0028051920235157013
25,21.0,b2eab0c3cbd5a018351d720e8567e4b273c93ed9,lacerate ,0.5953587889671326
26,23.0,5e2dc928a2626628a84c1900a413fbb44474517f,let the genius work ,0.0861348882317543
27,24.0,67ba80687a9a344f8a02abbd36cd35387e1b4a2f,ban incoming ,0.7502525448799133
28,24.0,51a94071dbf0a6a0cbd37dc09d33cc54aab77ecc,i don't think it does but then he probably won't be crushed ,0.5977478623390198
29,25.0,4f9e81e6b5679a9ae5dbe3dc184a9c56e3344bbf,here we go ,0.013886074535548687
30,25.0,5f7299952aff0de4fcf283a97e0cd8dc4d6682fa,it might ,0.07792387157678604
31,25.0,9926f21b610b6ae24fa45e0cc161b8974c1e3779,block him if he's wrong ,0.4206763803958893
32,26.0,49049038b05706f0f8775b58b0e13390ac2371de,uh oh ,0.10100021958351135
33,27.0,bcce09fe99f8be9da82e4223e0194e25ee3393a9,limmyvermin limmyvermin limmyvermin limmyvermin ,0.009954855777323246
34,27.0,cda4ebd245abc436ff476291a64851b5213da808,oh no ,0.5492268800735474
35,28.0,ff3a42247c86e73099d401bbe53717b40816dfb7,4885baf7b2f67d7765fc3a576a79960ead399b7b ,0.0006760357064194977
36,29.0,85be080a15ee92e54082c12faef19a88e28ec51e,giraffe why the unfollow btw d: ,0.09189058095216751
37,29.0,31fa16560c19df38f1a7c847d4875c626fc6f7e0,hi 7702890038ffb12577d66a57a5820fe60f9e20e6 :) limmydd1 ,0.0004804341006092727
38,30.0,f506fb646764a8a4e4d56b9020e65deb71f7dee6,johns on one ,0.07196489721536636
39,30.0,50ad8d9affa136d34b1615a1ce8917439637761f,run ,0.09969373792409897
40,30.0,af5d0e87ecc27cea526208be42d89d99e9c11efe,we're talking about bans here troops ,0.2294943928718567
41,32.0,22f104d546685314f3a9c5a63551235851529eff,oi ,0.0035504314582794905
42,33.0,03a076fdebeebb48537d1d0cde3561c717519a3c,all good thanks you ok 7702890038ffb12577d66a57a5820fe60f9e20e6 ,0.0018076308770105243
43,34.0,50ad8d9affa136d34b1615a1ce8917439637761f,run man run ,0.08891195058822632
44,35.0,c6d4327ba8e7314317ed7b6b008ea84fee7c2b17,ban ,0.35374507308006287
45,36.0,b2eab0c3cbd5a018351d720e8567e4b273c93ed9,i want to see deep cuts ,0.08013705909252167
46,38.0,22fbf51c974e13577d0cc3f7b7fbb1ad6e2dc6e2,yeah ,0.02279297262430191
47,38.0,4f9e81e6b5679a9ae5dbe3dc184a9c56e3344bbf,speach about how all of us are always wrong ,0.3852844834327698
48,39.0,bcce09fe99f8be9da82e4223e0194e25ee3393a9,ban ,0.35374507308006287
49,43.0,7702890038ffb12577d66a57a5820fe60f9e20e6,04cc6eba405b27f816f66d98432f83608f518762 good to hear that and i'm good thanks ,0.00027776454226113856
50,44.0,f70524cf5ee1e58b74ce0680b374a4911dc0e568,dee72fd31c3e545b53c070350ecdb533eb3b0c00 what about putting a row of crossbow raiders in a line and dropping some villagers from above in a room that they're looking at ,0.01523112878203392
51,44.0,686cd706e14c6c37c0bd8ed11b44197b7f0df73a,hahahahaha ,0.019963596016168594
52,45.0,6e72bfb00238944c22fc5d0ed6787ccc1230704c,nice ,0.0036919901613146067
53,47.0,a58b1e4fd08f60cde23660d3f4c280b65401f507,lol ,0.014838529750704765
54,48.0,5f7299952aff0de4fcf283a97e0cd8dc4d6682fa,looool ,0.058693185448646545
55,49.0,5e2dc928a2626628a84c1900a413fbb44474517f,hahaha ,0.01578509621322155
56,51.0,50ad8d9affa136d34b1615a1ce8917439637761f,thats fun ,0.0037668896839022636
57,51.0,d135f7fa95762e3ae60cd36c8c6fb37ef8ed266d,hahahahah ,0.009164213202893734
58,54.0,5e2dc928a2626628a84c1900a413fbb44474517f,all his bones broken ,0.5549907684326172
59,54.0,d4499621f5d3846d3d90d0849a193ca870e9c582,off ,0.8741664886474609
60,58.0,d4499621f5d3846d3d90d0849a193ca870e9c582,oof* ,0.24498490989208221
61,58.0,217e6ef816d3f037fb868933f74bbcaa9c7e82ec,steve jobs who? ,0.01234779879450798
62,58.0,49049038b05706f0f8775b58b0e13390ac2371de,hahahahaha ,0.019963596016168594
63,58.0,77df0b45a2afd00b715b498fb8515479bb076cba,oooooh torture ,0.9942423701286316
64,60.0,7702890038ffb12577d66a57a5820fe60f9e20e6,31fa16560c19df38f1a7c847d4875c626fc6f7e0 hello there yblahemface our ,0.06558164209127426
65,60.0,b2eab0c3cbd5a018351d720e8567e4b273c93ed9,bawww ,0.03154454752802849
66,61.0,c6d4327ba8e7314317ed7b6b008ea84fee7c2b17,hahhaha ,0.010726935230195522
67,62.0,bcce09fe99f8be9da82e4223e0194e25ee3393a9,brilliant ,0.0008728628745302558
68,63.0,6e90b8156744cfc245d52267485f0fb976381a5d,question him ,0.18673071265220642
69,65.0,39eecc04075b8f041c488aa2ffb8052be64e8b7e,perfect way to extract information ,7.219496910693124e-05
70,66.0,0bc49a6fba60de7b7674bf8857eb8534b1284959,very intimate one for the purists ,0.0016106031835079193
71,67.0,10e97042cb40b0a9e4168533d0320bcc53d1eed3,limmygumsy ,0.10815175622701645
72,68.0,fe26e0c2a2c4437f2231a9fd61a6bc1aee919dc9,guy can take a lot ,0.09690307080745697
73,68.0,e157c6a9cf57ad8361b4d359a82f70016880aeaa,poor guy ,0.9104537963867188
